Year	electricity-access	labour-force-participation-rate	male-expectancy-at-birth	female-life-expectancy-at-birth	Rural population (% of total population)	Population ages 15-64 (% of total)	Market capitalization of listed companies (% of GDP)	Employers total (% of total employment) (modeled ILO estimate)	Employment in industry (% of total employment) (modeled ILO estimate)	Exports of goods and services (annual % growth)	"Foreign direct investment	 net inflows (% of GDP)"	GDP growth (annual %)	Industry(annual % growth)	Researchers in R&D (per million people)
1992	46.58592224	60.64400101	58.486	59.395	74.016	58.55489872	 	1.934999943	14.97000027	4.893244255	0.097238944	5.482396022	3.215111818	 
1993	50.9	60.68799973	58.928	59.971	73.809	58.75989727	 	1.952999949	14.89599991	13.77959376	0.199720325	4.75077622	5.497411053	 
1994	49.86753464	60.77500153	59.366	60.538	73.601	59.01127251	 	2.095999956	15.42500019	13.04366508	0.301406511	6.658924067	9.161761704	 
1995	51.49610519	60.49599838	59.795	61.086	73.393	59.31021513	 	0.991999984	16.14699936	31.39607309	0.603030361	7.57449184	11.2897812	 
1996	53.1124382	60.19100189	60.212	61.608	73.183	59.55263617	 	1.037999988	15.89799976	6.289730441	0.625827257	7.549522249	6.393723744	152.48388
1997	54.71347427	59.88600159	60.619	62.103	72.972	59.83794233	 	1.004999995	15.8739996	-2.32817624	0.871838424	4.049820849	4.012753342	 
1998	56.29615784	59.58300018	61.016	62.572	72.76	60.15924499	 	0.99000001	15.56099987	13.88432184	0.633739715	6.184415821	4.148355554	115.63131
1999	60.1	59.2879982	61.405	63.016	72.547	60.50515375	 	0.953999996	15.78499985	17.99946948	0.479034915	8.845755561	5.964236194	 
2000	59.39574432	59.00400162	61.789	63.438	72.333	60.86609875	 	0.97299999	16.31999969	18.15351103	0.77555818	3.840991157	6.032130922	110.05039
2001	55.8	59.30599976	62.171	63.841	72.082	61.13957288	 	0.774999976	15.91100025	4.309524517	1.070660341	4.823966264	2.608147397	 
2002	62.3	59.61800003	62.556	64.234	71.756	61.44259921	 	0.763999999	16.59300041	21.08500281	1.025248066	3.803975321	7.211254417	 
2003	63.92449188	59.94100189	62.944	64.627	71.428	61.76648613	46.54705369	0.787999988	16.96999931	9.58221992	0.614080764	7.860381475	7.318593477	 
2004	64.4	60.27399826	63.334	65.024	71.097	62.10254121	55.43194784	0.869000018	18.32099915	27.17641182	0.775952192	7.922943418	9.81407254	 
2005	66.93244934	60.61800003	63.724	65.438	70.765	62.44552652	68.37347057	0.92900002	18.80400085	26.0737614	0.898676912	9.284824616	9.7169983	135.2997
2006	67.9	59.49900055	64.107	65.878	70.431	62.72463732	88.97792809	1.02699995	19.79599953	20.35546622	2.176329406	9.263964759	12.16931217	 
2007	69.98802185	58.41400146	64.48	66.345	70.094	63.01484557	151.4513934	1.126999974	20.62000084	5.926048602	2.100365807	9.801360337	9.673973075	 
2008	71.5473175	57.35800171	64.837	66.833	69.754	63.3177464	54.52658211	1.113999963	20.7159996	14.59741009	3.656950691	3.890957062	4.441180541	 
2009	75	56.32799911	65.177	67.336	69.413	63.64282441	98.68422723	1.133000016	21.32699966	-4.685442784	2.687536065	8.479783897	9.163007721	 
2010	76.3	55.31999969	65.497	67.84	69.07	63.99494401	98.50372584	1.208999991	21.80900002	19.61632784	1.653785022	10.25996306	7.551000579	156.63804
2011	67.6	54.63800049	65.798	68.327	68.724	64.30365154	55.24713748	1.519000053	23.45100021	15.57535839	2.002065552	6.6383638	7.814342988	 
2012	79.9	53.9640007	66.083	68.783	68.366	64.65653336	69.1239511	1.511999965	24.35499954	6.805488798	1.312934337	5.456387552	3.269180543	 
2013	79.59911346	53.9659996	66.353	69.195	67.997	65.02975776	61.33572746	1.524999976	23.79400063	7.792389239	1.516275965	6.386106401	3.785891904	 
2014	81.23950958	53.96300125	66.611	69.561	67.616	65.38678695	76.41992622	1.514999986	23.93600082	1.77885195	1.695658786	7.410227605	7.000633488	 
2015	88	53.94900131	66.857	69.882	67.223	65.70604552	72.11868999	1.521000028	23.89599991	-5.594264879	2.093306912	8.154425028	9.794584597	215.85286
2016	84.52681732	53.92900085	67.094	70.166	66.818	65.99664797	68.88840122	1.537999988	23.71999931	5.373543517	1.954884827	7.112686097	6.779610442	 
